Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
174,4/12/2020,5:00 PM,Gujarat,0,0,44,22,432
175,4/12/2020,5:00 PM,Karnataka,0,0,37,6,226
176,4/12/2020,5:00 PM,Madhya Pradesh,0,0,0,36,564
177,4/12/2020,5:00 PM,Maharashtra,0,0,208,127,1761
178,4/13/2020,5:00 PM,Delhi,0,0,27,24,1154
179,4/13/2020,5:00 PM,Goa,0,0,5,0,7
180,4/13/2020,5:00 PM,Gujarat,0,0,47,26,539
181,4/13/2020,5:00 PM,Karnataka,0,0,59,6,247
182,4/13/2020,5:00 PM,Madhya Pradesh,0,0,44,43,604
183,4/13/2020,5:00 PM,Maharashtra,0,0,217,149,1985
184,4/14/2020,5:00 PM,Delhi,0,0,30,28,1510
185,4/14/2020,5:00 PM,Goa,0,0,5,0,7
186,4/14/2020,5:00 PM,Gujarat,0,0,55,26,617
187,4/14/2020,5:00 PM,Karnataka,0,0,65,9,258
188,4/14/2020,5:00 PM,Madhya Pradesh,0,0,51,50,730
189,4/14/2020,5:00 PM,Maharashtra,0,0,229,160,2337
190,4/15/2020,5:00 PM,Delhi,0,0,30,30,1561
191,4/15/2020,5:00 PM,Goa,0,0,5,0,7
192,4/15/2020,5:00 PM,Gujarat,0,0,59,30,695
193,4/15/2020,5:00 PM,Karnataka,0,0,75,11,277
194,4/15/2020,5:00 PM,Madhya Pradesh,0,0,64,53,987
195,4/15/2020,5:00 PM,Maharashtra,0,0,259,178,2687
196,4/16/2020,5:00 PM,Delhi,0,0,42,32,1578
197,4/16/2020,5:00 PM,Goa,0,0,5,0,7
198,4/16/2020,5:00 PM,Gujarat,0,0,64,36,871
199,4/16/2020,5:00 PM,Karnataka,0,0,82,13,315
200,4/16/2020,5:00 PM,Madhya Pradesh,0,0,64,53,1120
201,4/16/2020,5:00 PM,Maharashtra,0,0,295,187,2919
202,4/17/2020,5:00 PM,Delhi,0,0,51,38,1640
203,4/17/2020,5:00 PM,Goa,0,0,6,0,7
204,4/17/2020,5:00 PM,Gujarat,0,0,74,38,1021
205,4/17/2020,5:00 PM,Karnataka,0,0,82,13,353
206,4/17/2020,5:00 PM,Madhya Pradesh,0,0,65,57,1308
207,4/17/2020,5:00 PM,Maharashtra,0,0,300,194,3205
208,4/18/2020,5:00 PM,Delhi,0,0,72,42,1707
209,4/18/2020,5:00 PM,Goa,0,0,6,0,7
210,4/18/2020,5:00 PM,Gujarat,0,0,88,48,1272
211,4/18/2020,5:00 PM,Karnataka,0,0,92,13,371
212,4/18/2020,5:00 PM,Madhya Pradesh,0,0,69,69,1355
213,4/18/2020,5:00 PM,Maharashtra,0,0,331,201,3323
214,4/19/2020,5:00 PM,Delhi,0,0,72,43,1893
215,4/19/2020,5:00 PM,Goa,0,0,6,0,7
216,4/19/2020,5:00 PM,Gujarat,0,0,94,58,1604
217,4/19/2020,5:00 PM,Karnataka,0,0,104,14,384
218,4/19/2020,5:00 PM,Madhya Pradesh,0,0,127,70,1407
219,4/19/2020,5:00 PM,Maharashtra,0,0,365,211,3651
220,4/20/2020,5:00 PM,Delhi,0,0,290,45,2003
221,4/20/2020,5:00 PM,Goa,0,0,7,0,7
222,4/20/2020,5:00 PM,Gujarat,0,0,106,67,1851
223,4/20/2020,5:00 PM,Karnataka,0,0,111,16,395
224,4/20/2020,5:00 PM,Madhya Pradesh,0,0,127,74,1485
225,4/20/2020,5:00 PM,Maharashtra,0,0,507,223,4203
226,4/21/2020,5:00 PM,Delhi,0,0,431,47,2081
227,4/21/2020,5:00 PM,Goa,0,0,7,0,7
228,4/21/2020,5:00 PM,Gujarat,0,0,131,77,2066
229,4/21/2020,5:00 PM,Karnataka,0,0,114,17,415
230,4/21/2020,5:00 PM,Madhya Pradesh,0,0,127,76,1540
231,4/21/2020,5:00 PM,Maharashtra,0,0,572,232,4669
232,4/22/2020,5:00 PM,Delhi,0,0,611,47,2156
233,4/22/2020,5:00 PM,Goa,0,0,7,0,7
234,4/22/2020,5:00 PM,Gujarat,0,0,144,95,2272
235,4/22/2020,5:00 PM,Karnataka,0,0,129,17,425
236,4/22/2020,5:00 PM,Madhya Pradesh,0,0,148,80,1592
237,4/22/2020,5:00 PM,Maharashtra,0,0,722,251,5221
238,4/23/2020,5:00 PM,Delhi,0,0,724,48,2248
239,4/23/2020,5:00 PM,Goa,0,0,7,0,7
240,4/23/2020,5:00 PM,Gujarat,0,0,179,103,2407
241,4/23/2020,5:00 PM,Karnataka,0,0,141,17,443
242,4/23/2020,5:00 PM,Madhya Pradesh,0,0,148,81,1695
243,4/23/2020,5:00 PM,Maharashtra,0,0,789,269,5652
244,4/24/2020,5:00 PM,Delhi,0,0,808,50,2376
245,4/24/2020,5:00 PM,Goa,0,0,7,0,7
246,4/24/2020,5:00 PM,Gujarat,0,0,258,112,2624
247,4/24/2020,5:00 PM,Karnataka,0,0,150,18,463
248,4/24/2020,5:00 PM,Madhya Pradesh,0,0,203,83,1852
249,4/24/2020,5:00 PM,Maharashtra,0,0,840,283,6430
250,4/25/2020,5:00 PM,Delhi,0,0,857,53,2514
251,4/25/2020,5:00 PM,Goa,0,0,7,0,7
252,4/25/2020,5:00 PM,Gujarat,0,0,265,127,2815
253,4/25/2020,5:00 PM,Karnataka,0,0,153,18,489
